n_samples,trial,mode,region,rel_err,neg_frac,rel_los,rel_trv,rel_R,rel_z,rel_phi,rel_err_sm,rel_los_sm,rel_trv_sm
500,0,LOS+Sun+rho,gc15,0.5353901386260986,0.13671875,0.3024559020996094,0.39556819200515747,0.2975762188434601,0.24105405807495117,0.26930955052375793,0.8852332830429077,0.5436715483665466,0.5998361110687256
500,1,LOS+rho,gc15,0.5925043821334839,0.154296875,0.33538275957107544,0.4344342350959778,0.31975412368774414,0.2894917130470276,0.29510512948036194,1.0167080163955688,0.6386206150054932,0.6758524179458618
500,1,LOS+Sun+rho,gc15,0.5899937748908997,0.146484375,0.33518242835998535,0.429939329624176,0.3290673792362213,0.2831306755542755,0.29123222827911377,0.992447018623352,0.6273789405822754,0.6534374952316284
500,2,LOS+rho,gc15,0.5890356302261353,0.17578125,0.32962554693222046,0.4405350089073181,0.28832492232322693,0.2778080999851227,0.3237580358982086,1.111002802848816,0.6617225408554077,0.7876759767532349
500,2,LOS+Sun+rho,gc15,0.5669302940368652,0.1640625,0.32528242468833923,0.4187273681163788,0.29851800203323364,0.26529741287231445,0.29429781436920166,1.0270675420761108,0.6240549087524414,0.715111494064331
1000,0,3D,sun4,0.03343714773654938,0.0,0.017986558377742767,0.025247443467378616,0.018689660355448723,0.017709437757730484,0.013500424101948738,0.024550097063183784,0.010884074494242668,0.02019483782351017
1000,0,LOS,sun4,0.04957575350999832,0.001953125,0.0179591104388237,0.04348538815975189,0.023263119161128998,0.03234202414751053,0.01770038530230522,0.03113093040883541,0.01020816806703806,0.027936264872550964
1000,0,LOS+Sun,sun4,0.049817074090242386,0.001953125,0.01737608015537262,0.04414668306708336,0.024338236078619957,0.03242979943752289,0.016609184443950653,0.032324641942977905,0.009835968725383282,0.029527228325605392
1000,1,3D,sun4,0.03493274748325348,0.0,0.019220100715756416,0.026130182668566704,0.018066082149744034,0.020612766966223717,0.013772259466350079,0.02313273772597313,0.011484351940453053,0.018328964710235596
1000,1,LOS,sun4,0.047283243387937546,0.0,0.017956968396902084,0.040803659707307816,0.021008580923080444,0.03270108625292778,0.01636275090277195,0.028364887461066246,0.01049118209630251,0.024821283295750618
1000,1,LOS+Sun,sun4,0.04982820898294449,0.0,0.01823180541396141,0.043253641575574875,0.021404892206192017,0.03582169860601425,0.01602291315793991,0.029272407293319702,0.010262437164783478,0.025767486542463303
1000,2,3D,sun4,0.033849701285362244,0.001953125,0.018679311498999596,0.025044498965144157,0.01845419593155384,0.018779411911964417,0.013446230441331863,0.02156052738428116,0.010890983045101166,0.016805171966552734
1000,2,LOS,sun4,0.04928895831108093,0.0,0.0172251109033823,0.04350201413035393,0.02226303704082966,0.032671280205249786,0.01810661144554615,0.0325019434094429,0.00970450695604086,0.02986113727092743
1000,2,LOS+Sun,sun4,0.04950878024101257,0.0,0.01687569171190262,0.044008173048496246,0.022643564268946648,0.03261308744549751,0.01818263903260231,0.032737381756305695,0.00927566085010767,0.03035801276564598
1000,0,3D,sun15,0.5876637101173401,0.21875,0.35094016790390015,0.40941399335861206,0.3233143091201782,0.2887433171272278,0.2714789807796478,0.850944459438324,0.5524315237998962,0.554425835609436
1000,0,LOS,sun15,0.4300742745399475,0.12109375,0.20243099331855774,0.3441348075866699,0.22162817418575287,0.24147996306419373,0.19193202257156372,0.7594708204269409,0.3357941806316376,0.623612105846405
1000,0,LOS+Sun,sun15,0.4196285307407379,0.1171875,0.20047327876091003,0.33292698860168457,0.22510991990566254,0.23468449711799622,0.17985805869102478,0.7240569591522217,0.32286104559898376,0.5923902988433838
1000,1,3D,sun15,0.6457626223564148,0.25,0.29501044750213623,0.5228976011276245,0.27643683552742004,0.3517986834049225,0.3363441228866577,1.0225539207458496,0.4451475739479065,0.8344566226005554
1000,1,LOS,sun15,0.5550066828727722,0.18359375,0.26252689957618713,0.4460577368736267,0.29805171489715576,0.32042619585990906,0.22302928566932678,0.8767792582511902,0.4675314724445343,0.6665358543395996
1000,1,LOS+Sun,sun15,0.5675795078277588,0.189453125,0.26325714588165283,0.4591890573501587,0.3034832179546356,0.33565962314605713,0.21737584471702576,0.9013277292251587,0.46662911772727966,0.6940823793411255
1000,2,3D,sun15,0.6521143913269043,0.259765625,0.3803730607032776,0.4635436236858368,0.3424447178840637,0.34810781478881836,0.28797805309295654,0.9845662117004395,0.6309782862663269,0.6586152911186218
1000,2,LOS,sun15,0.7025240659713745,0.23046875,0.35785388946533203,0.5336475968360901,0.2930140495300293,0.3435390591621399,0.39251014590263367,1.3146989345550537,0.6784439086914062,0.9914587736129761
1000,2,LOS+Sun,sun15,0.6898232102394104,0.21875,0.3495735228061676,0.5262644290924072,0.29943645000457764,0.3380696773529053,0.3749109208583832,1.2914327383041382,0.6577717661857605,0.9828494191169739
1000,0,3D,gc15,0.5948854088783264,0.224609375,0.35165971517562866,0.41870561242103577,0.3301534056663513,0.2883288860321045,0.2748788595199585,0.9285463094711304,0.5601149797439575,0.6389578580856323
1000,0,LOS,gc15,0.4661734998226166,0.12890625,0.21253602206707,0.3796124756336212,0.2236151099205017,0.24644577503204346,0.23081693053245544,0.9502301216125488,0.3950396776199341,0.8008530139923096
1000,0,LOS+Sun,gc15,0.4490593671798706,0.125,0.20780855417251587,0.36373382806777954,0.22621920704841614,0.23855189979076385,0.21285918354988098,0.882143497467041,0.3725908398628235,0.7422351241111755
1000,1,3D,gc15,0.6840267777442932,0.259765625,0.29391956329345703,0.5646153092384338,0.2854926884174347,0.35411885380744934,0.3813173770904541,1.2908986806869507,0.45776283740997314,1.112676978111267
1000,1,LOS,gc15,0.5768858194351196,0.15625,0.27571409940719604,0.4631813168525696,0.3125283122062683,0.3343185782432556,0.2233300507068634,1.0535738468170166,0.5432887077331543,0.8176934719085693
1000,1,LOS+Sun,gc15,0.5913868546485901,0.166015625,0.2769186496734619,0.47825324535369873,0.31841132044792175,0.35071492195129395,0.2192799150943756,1.0925745964050293,0.5478762984275818,0.8593814969062805
1000,2,3D,gc15,0.6788837909698486,0.283203125,0.39637666940689087,0.48159921169281006,0.3641379475593567,0.36517930030822754,0.2888110876083374,1.1390957832336426,0.6805893182754517,0.7878533601760864
1000,2,LOS,gc15,0.7603102326393127,0.248046875,0.3845701813697815,0.5814903974533081,0.31921499967575073,0.3738775849342346,0.4320436418056488,1.699116587638855,0.8415072560310364,1.322335124015808
