n_samples,trial,setting,sigma_mmsyr,arm,mode,region,rel_err,rel_los,rel_trv,rel_R,rel_z,rel_phi,rel_err_sm,rel_los_sm,rel_trv_sm,train_chi,train_err_true_mmsyr,train_err_smooth_mmsyr
200,2,hetC,1.69,C,LOS,sun15,1.0503054857254028,0.4094141125679016,0.9073584079742432,0.43263888359069824,0.6281733512878418,0.5041440725326538,1.8019442558288574,0.7184958457946777,1.5593422651290894,0.708,0.407,0.367
200,2,hetC,1.69,C,LOS,gc15,1.091069221496582,0.41323399543762207,0.9532812237739563,0.43578454852104187,0.6262398958206177,0.5550045967102051,2.109999179840088,0.7798332571983337,1.8623698949813843,0.708,0.407,0.367
200,2,hetC,1.69,C,LOS+Sun+rho,sun4,0.10334619879722595,0.03943871706724167,0.08880697935819626,0.03680812940001488,0.07948372513055801,0.031121596693992615,0.08725306391716003,0.03409791365265846,0.07463757693767548,0.748,0.346,0.295
200,2,hetC,1.69,C,LOS+Sun+rho,sun15,0.7516765594482422,0.3859724998474121,0.5791605114936829,0.3971426784992218,0.3816550076007843,0.37118983268737793,1.2122554779052734,0.6672924160957336,0.9163323640823364,0.748,0.346,0.295
200,2,hetC,1.69,C,LOS+Sun+rho,gc15,0.7663900852203369,0.3846997916698456,0.597091555595398,0.40325307846069336,0.3994300365447998,0.3676857650279999,1.3983659744262695,0.7184939384460449,1.0936025381088257,0.748,0.346,0.295
200,2,s1.7W,1.70,W,LOS,sun4,0.21339166164398193,0.08925603330135345,0.17879417538642883,0.09709975123405457,0.14235131442546844,0.0837472602725029,0.21729692816734314,0.08713532984256744,0.1842423677444458,0.699,0.785,0.755
200,2,s1.7W,1.70,W,LOS,sun15,5.0426788330078125,2.1927807331085205,4.206205368041992,1.1797326803207397,3.196798801422119,2.917940139770508,7.9981231689453125,3.552220344543457,6.652142524719238,0.699,0.785,0.755
200,2,s1.7W,1.70,W,LOS,gc15,5.480093002319336,2.27349591255188,4.6661529541015625,1.3934204578399658,3.587515354156494,2.9959702491760254,9.921602249145508,4.016086578369141,8.575571060180664,0.699,0.785,0.755
200,2,s1.7W,1.70,W,LOS+Sun+rho,sun4,0.20664004981517792,0.09985438734292984,0.16542398929595947,0.09230609238147736,0.1346021294593811,0.08513237535953522,0.20475374162197113,0.0964808389544487,0.1660248041152954,0.680,0.858,0.831
200,2,s1.7W,1.70,W,LOS+Sun+rho,sun15,1.775804042816162,0.8757272362709045,1.413023591041565,0.6094907522201538,1.150850534439087,0.8872805833816528,2.9344871044158936,1.4771450757980347,2.322160005569458,0.680,0.858,0.831
200,2,s1.7W,1.70,W,LOS+Sun+rho,gc15,1.9694530963897705,1.0798656940460205,1.443763017654419,0.7897244095802307,1.1597473621368408,0.987113893032074,3.366684675216675,1.8460426330566406,2.473618507385254,0.680,0.858,0.831
200,2,s1.7C,1.70,C,LOS,sun4,0.41003355383872986,0.12350907921791077,0.36940476298332214,0.13968917727470398,0.32379087805747986,0.11440469324588776,0.41410619020462036,0.12305636703968048,0.37367087602615356,0.676,0.891,0.881
200,2,s1.7C,1.70,C,LOS,sun15,4.900857448577881,1.8784210681915283,4.265661239624023,1.1673927307128906,3.472330331802368,2.2959530353546143,7.664116382598877,2.844390392303467,6.697719573974609,0.676,0.891,0.881
200,2,s1.7C,1.70,C,LOS,gc15,5.299624443054199,1.986351490020752,4.652678489685059,1.3622456789016724,3.744433641433716,2.4143548011779785,9.018266677856445,3.1519222259521484,8.028587341308594,0.676,0.891,0.881
200,2,s1.7C,1.70,C,LOS+Sun+rho,sun4,0.28965839743614197,0.09823031723499298,0.25743797421455383,0.1058606281876564,0.21989445388317108,0.08413363993167877,0.29455649852752686,0.09727836400270462,0.263240784406662,0.738,0.755,0.753
200,2,s1.7C,1.70,C,LOS+Sun+rho,sun15,2.3583500385284424,1.361846685409546,1.7183871269226074,0.7034974098205566,1.2654404640197754,1.463194489479065,3.977118968963623,2.2883965969085693,2.9399073123931885,0.738,0.755,0.753
200,2,s1.7C,1.70,C,LOS+Sun+rho,gc15,2.5194144248962402,1.5145668983459473,1.7253029346466064,0.9385582208633423,1.276440978050232,1.4252091646194458,4.159933090209961,2.3601651191711426,3.01942777633667,0.738,0.755,0.753
500,0,s0,0.00,plain,LOS,sun4,0.05234832689166069,0.01843617856502533,0.04629764333367348,0.024896161630749702,0.035438939929008484,0.016629068180918694,0.03491050750017166,0.01145948190242052,0.03146040439605713,nan,0.170,0.091
500,0,s0,0.00,plain,LOS,sun15,0.5580368041992188,0.25201934576034546,0.45453786849975586,0.2609221041202545,0.3284628987312317,0.2623251676559448,0.9906718730926514,0.44266220927238464,0.8125981688499451,nan,0.170,0.091
500,0,s0,0.00,plain,LOS,gc15,0.5999712944030762,0.2671383023262024,0.49339109659194946,0.26875728368759155,0.3346410095691681,0.3023763597011566,1.2526501417160034,0.5252335667610168,1.052680253982544,nan,0.170,0.091
500,0,s0,0.00,plain,LOS+Sun+rho,sun4,0.054021287709474564,0.01860681176185608,0.0481833852827549,0.027268938720226288,0.035687848925590515,0.015970654785633087,0.04002592712640762,0.012112525291740894,0.03678300231695175,nan,0.169,0.104
500,0,s0,0.00,plain,LOS+Sun+rho,sun15,0.5840356945991516,0.337647944688797,0.424690306186676,0.283726304769516,0.2675434648990631,0.3285805881023407,0.9480340480804443,0.6146348714828491,0.626901388168335,nan,0.169,0.104
500,0,s0,0.00,plain,LOS+Sun+rho,gc15,0.5879692435264587,0.33382123708724976,0.4333280026912689,0.2880541682243347,0.26678600907325745,0.3321003317832947,1.055996298789978,0.6508144736289978,0.7167236804962158,nan,0.169,0.104
500,0,s0,0.00,plain,3D,sun4,0.03438199684023857,0.019198808819055557,0.025442717596888542,0.018590951338410378,0.01802235096693039,0.014980735257267952,0.02627423033118248,0.012642464600503445,0.021235737949609756,nan,0.178,0.106
500,0,s0,0.00,plain,3D,sun15,0.5629820227622986,0.35322725772857666,0.3805391490459442,0.3252839148044586,0.24310407042503357,0.28164932131767273,0.8079250454902649,0.5537819266319275,0.4972909092903137,nan,0.178,0.106
500,0,s0,0.00,plain,3D,gc15,0.5677046775817871,0.352331280708313,0.3880385458469391,0.3291688859462738,0.24775058031082153,0.2805529832839966,0.8756606578826904,0.5610387921333313,0.5627321600914001,nan,0.178,0.106
500,0,s0.5,0.50,plain,LOS,sun4,0.08882477879524231,0.02893863059580326,0.07941070944070816,0.029811417683959007,0.07073187083005905,0.024219363927841187,0.07947993278503418,0.02389971911907196,0.07193566858768463,0.828,0.232,0.177
500,0,s0.5,0.50,plain,LOS,sun15,0.7515480518341064,0.4918254017829895,0.487123042345047,0.44567546248435974,0.2886728048324585,0.3972077965736389,1.155393362045288,0.7925561666488647,0.711300790309906,0.828,0.232,0.177
