n_samples,trial,mode,region,rel_err,neg_frac,rel_los,rel_trv,rel_R,rel_z,rel_phi
200,2,LOS+Sun+rho,gc15,0.16590717434883118,0.037109375,0.0772363543510437,0.13676275312900543,0.08741306513547897,0.09680229425430298,0.057159289717674255
500,0,3D,sun4,0.025915026664733887,0.001953125,0.0127911027520895,0.020709581673145294,0.021132642403244972,0.013184678740799427,0.0010415255092084408
500,0,LOS,sun4,0.042990975081920624,0.0,0.009713280946016312,0.040276553481817245,0.012155345641076565,0.03932033106684685,0.001713964156806469
500,0,LOS+Sun,sun4,0.04272199422121048,0.0,0.012159004807472229,0.03924209997057915,0.01852540858089924,0.03513709083199501,0.004140426404774189
500,0,LOS+rho,sun4,0.06011375039815903,0.0,0.01816977933049202,0.05470352619886398,0.029340026900172234,0.04803551360964775,0.0041192094795405865
500,0,LOS+Sun+rho,sun4,0.051227279007434845,0.0,0.013544367626309395,0.047432780265808105,0.017562609165906906,0.045157138258218765,0.005458679981529713
500,0,3D,sun15,0.2403576672077179,0.080078125,0.15794453024864197,0.14946939051151276,0.15071454644203186,0.1405089795589447,0.04178180918097496
500,0,LOS,sun15,0.22200819849967957,0.1015625,0.14505553245544434,0.1357315182685852,0.13426819443702698,0.12117168307304382,0.04499483108520508
500,0,LOS+Sun,sun15,0.2244635671377182,0.103515625,0.14869041740894318,0.13610738515853882,0.13938623666763306,0.12210114300251007,0.04300812631845474
500,0,LOS+rho,sun15,0.28401803970336914,0.033203125,0.17539313435554504,0.1883872002363205,0.19838760793209076,0.13552817702293396,0.07106068730354309
500,0,LOS+Sun+rho,sun15,0.2864111065864563,0.03125,0.18541847169399261,0.1830260455608368,0.19050802290439606,0.13450321555137634,0.07919815182685852
500,0,3D,gc15,0.15781055390834808,0.029296875,0.0844801813364029,0.11948364973068237,0.0768653005361557,0.11068553477525711,0.04483150318264961
500,0,LOS,gc15,0.13701826333999634,0.02734375,0.06771498918533325,0.10600702464580536,0.06038527935743332,0.08683851361274719,0.05062001943588257
500,0,LOS+Sun,gc15,0.13966816663742065,0.029296875,0.0723225548863411,0.10541737079620361,0.06586165726184845,0.08803856372833252,0.04872769117355347
500,0,LOS+rho,gc15,0.17649273574352264,0.0234375,0.08443419635295868,0.1431276798248291,0.10653194785118103,0.09688535332679749,0.06692629307508469
500,0,LOS+Sun+rho,gc15,0.17425617575645447,0.03125,0.08962982892990112,0.13609206676483154,0.09558987617492676,0.09375332295894623,0.07452709972858429
500,1,3D,sun4,0.014141482301056385,0.00390625,0.006259607151150703,0.011766479350626469,0.010202324017882347,0.008291566744446754,0.0009614970767870545
500,1,LOS,sun4,0.04106849431991577,0.0,0.009106671437621117,0.038924701511859894,0.01443544402718544,0.035225678235292435,0.003139608772471547
500,1,LOS+Sun,sun4,0.04331880435347557,0.0,0.009862255305051804,0.041144222021102905,0.01662023365497589,0.03657460957765579,0.002965042134746909
500,1,LOS+rho,sun4,0.030940327793359756,0.0,0.006255478598177433,0.02907896786928177,0.0078119998797774315,0.027798915281891823,0.00200329115614295
500,1,LOS+Sun+rho,sun4,0.03425070643424988,0.0,0.009327473118901253,0.03165113180875778,0.015199978835880756,0.027930907905101776,0.0016934340819716454
500,1,3D,sun15,0.2370942085981369,0.130859375,0.13999247550964355,0.16239012777805328,0.13740496337413788,0.14002519845962524,0.05890044942498207
500,1,LOS,sun15,0.18239428102970123,0.025390625,0.11622253060340881,0.11829419434070587,0.11198797076940536,0.08951472491025925,0.05450965091586113
500,1,LOS+Sun,sun15,0.19624954462051392,0.02734375,0.12556783854961395,0.1280607134103775,0.10984767228364944,0.09579402953386307,0.06822419166564941
500,1,LOS+rho,sun15,0.19837699830532074,0.017578125,0.11178959906101227,0.14253664016723633,0.12392421066761017,0.10616576671600342,0.05724458768963814
500,1,LOS+Sun+rho,sun15,0.1934584379196167,0.0234375,0.10900688171386719,0.13975059986114502,0.12492553889751434,0.1028611809015274,0.05276455730199814
500,1,3D,gc15,0.1718708574771881,0.08984375,0.07636629045009613,0.1433473527431488,0.07549594342708588,0.11729038506746292,0.06380924582481384
500,1,LOS,gc15,0.12988364696502686,0.033203125,0.05965104699134827,0.10663312673568726,0.058449096977710724,0.07261283695697784,0.0617830827832222
500,1,LOS+Sun,gc15,0.14196448028087616,0.025390625,0.06392799317836761,0.11825840175151825,0.052453018724918365,0.07763007283210754,0.07720105350017548
500,1,LOS+rho,gc15,0.14083558320999146,0.021484375,0.06059854477643967,0.11888043582439423,0.07189684361219406,0.08670677989721298,0.05507700517773628
500,1,LOS+Sun+rho,gc15,0.1388293206691742,0.021484375,0.06097765639424324,0.11670224368572235,0.07514619082212448,0.08425652980804443,0.05080034211277962
500,2,3D,sun4,0.020556434988975525,0.013671875,0.008543970994651318,0.017255889251828194,0.00958589930087328,0.016407905146479607,0.0013366969069465995
500,2,LOS,sun4,0.039913810789585114,0.0,0.010043625719845295,0.037308529019355774,0.015386328101158142,0.03400224819779396,0.0029799658805131912
500,2,LOS+Sun,sun4,0.03347158059477806,0.0,0.005868364125490189,0.03167581558227539,0.003814727533608675,0.03218255937099457,0.0035123529378324747
500,2,LOS+rho,sun4,0.033798545598983765,0.0,0.007523322477936745,0.031932853162288666,0.01151957269757986,0.030098024755716324,0.0017493886407464743
500,2,LOS+Sun+rho,sun4,0.03372509777545929,0.0,0.009096965193748474,0.03090066835284233,0.012545233592391014,0.02870173752307892,0.0033963376190513372
500,2,3D,sun15,0.2521410584449768,0.16015625,0.15751726925373077,0.16886797547340393,0.16141867637634277,0.13624298572540283,0.069546177983284
500,2,LOS,sun15,0.1859622746706009,0.111328125,0.12753818929195404,0.11224530637264252,0.11877287924289703,0.0897102952003479,0.06012682616710663
500,2,LOS+Sun,sun15,0.19302888214588165,0.107421875,0.13650552928447723,0.11126065254211426,0.12300798296928406,0.0951174646615982,0.060206979513168335
500,2,LOS+rho,sun15,0.233649343252182,0.044921875,0.15514548122882843,0.14507456123828888,0.1535487174987793,0.11957293748855591,0.055455200374126434
500,2,LOS+Sun+rho,sun15,0.23252683877944946,0.044921875,0.15068694949150085,0.1490781009197235,0.1513804793357849,0.11660933494567871,0.05741563439369202
500,2,3D,gc15,0.22457681596279144,0.083984375,0.14150376617908478,0.152349591255188,0.14439606666564941,0.11349527537822723,0.07662352919578552
500,2,LOS,gc15,0.16963553428649902,0.03515625,0.11198844015598297,0.1133318841457367,0.10521144419908524,0.07405421137809753,0.07511735707521439
500,2,LOS+Sun,gc15,0.17755171656608582,0.0390625,0.12317484617233276,0.11078399419784546,0.11173317581415176,0.07828070968389511,0.07564486563205719
