n_samples,trial,mode,region,rel_err,neg_frac,rel_los,rel_trv,rel_R,rel_z,rel_phi
200,0,LOS+Sun,gc15,0.2468700259923935,0.078125,0.1396312415599823,0.17871026694774628,0.12408105283975601,0.11585115641355515,0.1289539933204651
200,0,LOS+rho,gc15,0.25624802708625793,0.064453125,0.1382787972688675,0.19418027997016907,0.14043593406677246,0.1267850548028946,0.12592995166778564
200,0,LOS+Sun+rho,gc15,0.2596364915370941,0.064453125,0.14325161278247833,0.19352994859218597,0.14434948563575745,0.12551482021808624,0.12591269612312317
500,0,3D,sun4,0.07888469099998474,0.015625,0.02396024391055107,0.06988930702209473,0.01943587139248848,0.07235558331012726,0.005011369474232197
500,0,LOS,sun4,0.09242124110460281,0.0,0.024508891627192497,0.08532891422510147,0.0313732773065567,0.081818588078022,0.008309225551784039
500,0,LOS+Sun,sun4,0.09139122068881989,0.0,0.02158750407397747,0.08531594276428223,0.02440366894006729,0.08374917507171631,0.008786406368017197
500,0,LOS+rho,sun4,0.09185709804296494,0.0,0.02114550769329071,0.08553346991539001,0.014140510931611061,0.08642847836017609,0.015138852410018444
500,0,LOS+Sun+rho,sun4,0.09506097435951233,0.0,0.02298550494015217,0.08800851553678513,0.023195235058665276,0.08641183376312256,0.013277536258101463
500,0,3D,sun15,0.46636879444122314,0.197265625,0.32602736353874207,0.27304607629776,0.26584428548812866,0.2508518695831299,0.15081728994846344
500,0,LOS,sun15,0.35403865575790405,0.16796875,0.2522945702075958,0.20501156151294708,0.21003134548664093,0.17393983900547028,0.11683212220668793
500,0,LOS+Sun,sun15,0.3404335677623749,0.1640625,0.24410218000411987,0.1960027515888214,0.20291271805763245,0.16756241023540497,0.10917485505342484
500,0,LOS+rho,sun15,0.41858193278312683,0.064453125,0.3084174394607544,0.23124416172504425,0.3084222078323364,0.18668828904628754,0.07591543346643448
500,0,LOS+Sun+rho,sun15,0.42283934354782104,0.0625,0.3064776659011841,0.23835201561450958,0.3154674768447876,0.18850043416023254,0.07225457578897476
500,0,3D,gc15,0.3777313828468323,0.08984375,0.20433355867862701,0.28210723400115967,0.16069301962852478,0.23207804560661316,0.17877355217933655
500,0,LOS,gc15,0.25240767002105713,0.0625,0.13290587067604065,0.19455744326114655,0.1058746799826622,0.13672557473182678,0.1341966688632965
500,0,LOS+Sun,gc15,0.23728996515274048,0.0625,0.12869632244110107,0.1802987903356552,0.10015510022640228,0.12852713465690613,0.12437905371189117
