n_samples,trial,setting,sigma_mmsyr,arm,mode,region,rel_err,rel_los,rel_trv,rel_R,rel_z,rel_phi,train_chi,train_err_true_mmsyr
100,2,s0,0.00,plain,LOS+Sun+rho,gc15,0.16729608178138733,0.0816032737493515,0.13413870334625244,0.09038614481687546,0.0918150544166565,0.06085817888379097,nan,0.055
100,2,s0,0.00,plain,3D,sun4,0.017628757283091545,0.006786155514419079,0.01520611997693777,0.007846404798328876,0.014543259516358376,0.0012848370242863894,nan,0.053
100,2,s0,0.00,plain,3D,sun15,0.28831684589385986,0.16459116339683533,0.2057199478149414,0.16903772950172424,0.16193462908267975,0.08184437453746796,nan,0.053
100,2,s0,0.00,plain,3D,gc15,0.26168203353881836,0.1483105719089508,0.19238758087158203,0.15105795860290527,0.1425950676202774,0.0887896865606308,nan,0.053
100,2,s0.5,0.50,plain,LOS,sun4,0.15350759029388428,0.06079573184251785,0.12899243831634521,0.04066040366888046,0.11680237948894501,0.06196470558643341,0.530,0.284
100,2,s0.5,0.50,plain,LOS,sun15,0.7942056655883789,0.40245321393013,0.6086814403533936,0.3982892632484436,0.417513370513916,0.3722332715988159,0.530,0.284
100,2,s0.5,0.50,plain,LOS,gc15,0.7496907711029053,0.3695075213909149,0.5670141577720642,0.4220570921897888,0.35814380645751953,0.35433632135391235,0.530,0.284
100,2,s0.5,0.50,plain,LOS+Sun+rho,sun4,0.1182025894522667,0.050534285604953766,0.09796129167079926,0.039942316710948944,0.07954604178667068,0.0545634888112545,0.609,0.255
100,2,s0.5,0.50,plain,LOS+Sun+rho,sun15,1.136260986328125,0.8051179647445679,0.6954331994056702,0.698652446269989,0.4125176668167114,0.6305578351020813,0.609,0.255
100,2,s0.5,0.50,plain,LOS+Sun+rho,gc15,1.732247233390808,1.428551197052002,0.801101803779602,1.3069490194320679,0.4582892954349518,0.78138667345047,0.609,0.255
100,2,s1.7,1.70,plain,LOS,sun4,0.36207687854766846,0.18942272663116455,0.2754696011543274,0.16306886076927185,0.20669659972190857,0.1779780089855194,0.538,0.895
100,2,s1.7,1.70,plain,LOS,sun15,2.725722074508667,1.03301203250885,2.3492088317871094,1.129410982131958,1.7628761529922485,1.0854908227920532,0.538,0.895
100,2,s1.7,1.70,plain,LOS,gc15,2.8744168281555176,1.215966820716858,2.402334451675415,1.2346391677856445,1.9287731647491455,1.0271821022033691,0.538,0.895
100,2,s1.7,1.70,plain,LOS+Sun+rho,sun4,0.3254299759864807,0.16988947987556458,0.24942979216575623,0.1603955328464508,0.18765991926193237,0.1405821144580841,0.574,0.935
100,2,s1.7,1.70,plain,LOS+Sun+rho,sun15,3.744718551635742,2.62971830368042,2.168837785720825,2.053105354309082,1.485007882118225,2.1569857597351074,0.574,0.935
100,2,s1.7,1.70,plain,LOS+Sun+rho,gc15,5.303064346313477,4.374603748321533,2.2733545303344727,3.6217010021209717,1.820989966392517,2.419232130050659,0.574,0.935
100,2,s4.3,4.30,plain,LOS,sun4,1.4871703386306763,0.6130742430686951,1.2539434432983398,0.6505109071731567,0.8905037641525269,0.7193138003349304,0.311,3.118
100,2,s4.3,4.30,plain,LOS,sun15,24.624862670898438,13.259098052978516,19.208826065063477,9.35273265838623,12.166753768920898,15.044744491577148,0.311,3.118
100,2,s4.3,4.30,plain,LOS,gc15,29.554231643676758,16.535545349121094,22.6695556640625,12.955628395080566,13.319682121276855,17.553865432739258,0.311,3.118
100,2,s4.3,4.30,plain,LOS+Sun+rho,sun4,1.3496088981628418,0.6206037402153015,1.1104178428649902,0.604043185710907,0.8199490308761597,0.6120832562446594,0.332,3.206
100,2,s4.3,4.30,plain,LOS+Sun+rho,sun15,10.050907135009766,7.829006671905518,4.7148847579956055,5.961310863494873,3.626030445098877,5.620319366455078,0.332,3.206
100,2,s4.3,4.30,plain,LOS+Sun+rho,gc15,14.581719398498535,13.088632583618164,4.782430648803711,10.64073371887207,5.015374660491943,5.658790111541748,0.332,3.206
100,2,het,1.51,plain,LOS,sun4,0.332397997379303,0.14788851141929626,0.27236026525497437,0.15471932291984558,0.22397078573703766,0.11203368753194809,0.583,0.806
100,2,het,1.51,plain,LOS,sun15,4.398963451385498,3.118081569671631,2.5753421783447266,1.8463056087493896,3.2860777378082275,1.4464752674102783,0.583,0.806
100,2,het,1.51,plain,LOS,gc15,5.446498870849609,3.9541449546813965,3.2856550216674805,2.693349838256836,4.117953300476074,1.2733891010284424,0.583,0.806
100,2,het,1.51,plain,LOS+Sun+rho,sun4,0.2719747722148895,0.10904999822378159,0.22951483726501465,0.11565247923135757,0.1888236552476883,0.10144177079200745,0.580,0.673
100,2,het,1.51,plain,LOS+Sun+rho,sun15,3.1490492820739746,2.645460367202759,1.355380892753601,1.7159748077392578,1.2632496356964111,1.772779107093811,0.580,0.673
100,2,het,1.51,plain,LOS+Sun+rho,gc15,4.173305511474609,3.8703086376190186,1.1565120220184326,2.7272863388061523,1.5079704523086548,1.9898736476898193,0.580,0.673
100,2,hetW,1.51,W,LOS,sun4,0.21462062001228333,0.09671740978956223,0.17408019304275513,0.07140807807445526,0.1635330319404602,0.07959511876106262,0.583,0.446
100,2,hetW,1.51,W,LOS,sun15,1.2240984439849854,0.5555744171142578,1.010088562965393,0.4780230224132538,0.7033283710479736,0.6439360976219177,0.583,0.446
100,2,hetW,1.51,W,LOS,gc15,1.2367922067642212,0.5221617221832275,1.0475132465362549,0.5048986673355103,0.7021401524543762,0.6434445977210999,0.583,0.446
100,2,hetW,1.51,W,LOS+Sun+rho,sun4,0.22167575359344482,0.10622455179691315,0.17371441423892975,0.07791630923748016,0.16049496829509735,0.08408306539058685,0.605,0.518
100,2,hetW,1.51,W,LOS+Sun+rho,sun15,2.09896183013916,1.6200473308563232,1.1795732975006104,1.0700231790542603,0.9525255560874939,1.22539222240448,0.605,0.518
100,2,hetW,1.51,W,LOS+Sun+rho,gc15,2.715238332748413,2.315355062484741,1.1793259382247925,1.6914310455322266,1.0239440202713013,1.4259767532348633,0.605,0.518
100,2,hetC,1.51,C,LOS,sun4,0.2504335343837738,0.10368672013282776,0.21086439490318298,0.10867895185947418,0.18312007188796997,0.07612311840057373,0.613,0.554
100,2,hetC,1.51,C,LOS,sun15,1.3462889194488525,0.5554757714271545,1.1292834281921387,0.46267378330230713,0.6209440231323242,0.8515371084213257,0.613,0.554
100,2,hetC,1.51,C,LOS,gc15,1.4308103322982788,0.5133968591690063,1.2437779903411865,0.47781020402908325,0.6364994049072266,0.9431976079940796,0.613,0.554
100,2,hetC,1.51,C,LOS+Sun+rho,sun4,0.18731293082237244,0.07569374144077301,0.1580812633037567,0.07366179674863815,0.14633744955062866,0.04992692917585373,0.624,0.424
100,2,hetC,1.51,C,LOS+Sun+rho,sun15,1.3321046829223633,0.9331361055374146,0.8123794794082642,0.7309253215789795,0.6912816762924194,0.5714514255523682,0.624,0.424
100,2,hetC,1.51,C,LOS+Sun+rho,gc15,1.6569105386734009,1.3039354085922241,0.8019922971725464,1.057845950126648,0.7555751204490662,0.6759735345840454,0.624,0.424
100,2,s1.7W,1.70,W,LOS,sun4,0.36207687854766846,0.18942272663116455,0.2754696011543274,0.16306886076927185,0.20669659972190857,0.1779780089855194,0.538,0.895
100,2,s1.7W,1.70,W,LOS,sun15,2.725722074508667,1.03301203250885,2.3492088317871094,1.129410982131958,1.7628761529922485,1.0854908227920532,0.538,0.895
100,2,s1.7W,1.70,W,LOS,gc15,2.8744168281555176,1.215966820716858,2.402334451675415,1.2346391677856445,1.9287731647491455,1.0271821022033691,0.538,0.895
100,2,s1.7W,1.70,W,LOS+Sun+rho,sun4,0.3254299759864807,0.16988947987556458,0.24942979216575623,0.1603955328464508,0.18765991926193237,0.1405821144580841,0.574,0.935
100,2,s1.7W,1.70,W,LOS+Sun+rho,sun15,3.744718551635742,2.62971830368042,2.168837785720825,2.053105354309082,1.485007882118225,2.1569857597351074,0.574,0.935
100,2,s1.7W,1.70,W,LOS+Sun+rho,gc15,5.303064346313477,4.374603748321533,2.2733545303344727,3.6217010021209717,1.820989966392517,2.419232130050659,0.574,0.935
100,2,s1.7C,1.70,C,LOS,sun4,0.6603076457977295,0.24310845136642456,0.5799211263656616,0.2123803049325943,0.4465475082397461,0.31310349702835083,0.552,1.025
